Kode Wilayah,Kabupaten,2018,2019,2020,2021,2022,2023,2024,2025,2026
1871.0,KOTA BANDARLAMPUNG,0,0,0,0,0,0,0,0,0
1872.0,KOTA METRO,0,0,0,0,0,0,0,0,0
1804.0,LAMPUNG BARAT,0,0,0,0,0,0,0,0,0
1801.0,LAMPUNG SELATAN,0,0,0,0,0,"34,59",0,"45,19",0
1802.0,LAMPUNG TENGAH,"2.412,00","1.602,00","268,00","95,00","80,00","594,97","1.249,22","249,13",0
1807.0,LAMPUNG TIMUR,"3.620,00","4.669,00","756,00","3.541,00","7.564,00","4.014,52","8.019,67","2.582,15","3.366,43"
1803.0,LAMPUNG UTARA,"23,00","255,00",0,"366,00","57,00","23,46","124,01","181,11",0
1811.0,MESUJI,"4.565,00","15.266,00",0,"516,00",0,"1.225,37","1.581,87","353,83",0
1809.0,PESAWARAN,0,0,0,0,0,0,0,0,0
1813.0,PESISIR BARAT,0,0,"1,00","17,00","12,00",0,0,"24,16",0
1810.0,PRINGSEWU,0,0,0,0,0,0,0,0,0
1806.0,TANGGAMUS,0,0,0,0,"2,00",0,0,0,0
1805.0,TULANGBAWANG,"4.454,00","11.210,00","8,00","555,00","163,00","370,61","1.748,56","37,48",0
1812.0,TULANG BAWANG BARAT,"10,00","1.323,00",0,"62,00",0,"4,55","82,04","76,76",0
1808.0,WAY KANAN,"73,00","1.221,00","325,00","260,00","112,00","238,59","436,64","246,22",0
,Total,"15.157,00","35.546,00","1.358,00","5.412,00","7.990,00","6.506,66","13.242,01","3.796,03","3.366,43"
