Kode Wilayah,Provinsi,2018,2019,2020,2021,2022,2023,2024,2025,2026
11.0,Aceh,"1.284,70","730,00","1.078,00","1.267,00","3.716,00","1.936,86","7.257,35","8.924,98","2.125,61"
51.0,Bali,"1.013,76","373,00","29,00","3,00","0,00","2.011,27","316,36","93,08","0,00"
19.0,Bangka Belitung,"2.055,67","4.778,00","576,00","385,00","328,00","4.752,98","2.915,46","1.670,83","40,26"
36.0,Banten,"0,00","9,00","2,00","0,00","0,00","1,01","362,83","4,44","2,12"
17.0,Bengkulu,"8,82","11,00","221,00","93,00","1.620,00","75,94","355,05","2.543,98","94,19"
31.0,DKI Jakarta,"0,00","0,00","0,00","0,00","0,00","0,00","0,51","0,00","0,00"
75.0,Gorontalo,"158,65","1.909,00","80,00","163,00","101,00","666,33","767,03","89,86","196,50"
15.0,Jambi,"1.577,75","56.593,00","1.002,00","540,00","918,00","6.539,68","5.636,69","3.566,22","129,46"
32.0,Jawa Barat,"4.104,51","9.552,00","2.344,00","1.299,00","2.005,00","11.524,80","4.548,58","1.610,64","35,67"
33.0,Jawa Tengah,"331,67","4.782,00","7.516,00","599,00","107,00","9.965,59","3.726,78","1.372,29","20,87"
35.0,Jawa Timur,"8.886,39","23.655,00","19.148,00","15.458,00","2.380,00","49.498,32","20.957,17","10.667,23","397,79"
61.0,Kalimantan Barat,"68.422,03","151.919,00","7.646,00","20.590,00","21.836,00","111.848,43","24.154,63","26.702,81","28.216,31"
63.0,Kalimantan Selatan,"98.637,99","137.848,00","4.017,00","8.625,00","429,00","190.394,58","4.993,88","11.896,38","107,39"
62.0,Kalimantan Tengah,"47.432,57","317.749,00","7.681,00","3.653,00","1.554,00","165.896,44","11.459,89","4.803,97","2.915,11"
64.0,Kalimantan Timur,"27.893,20","68.524,00","5.221,00","3.029,00","373,00","39.494,41","22.570,50","9.573,14","1.276,29"
65.0,Kalimantan Utara,"627,71","8.559,00","1.721,00","1.678,00","370,00","796,36","2.429,21","2.740,97","196,59"
21.0,Kepulauan Riau,"320,96","6.134,00","8.805,00","1.588,00","23,00","724,26","1.498,66","356,53","5.690,77"
18.0,Lampung,"15.156,22","35.546,00","1.358,00","5.411,00","7.989,00","6.506,67","13.242,01","3.796,05","3.380,61"
81.0,Maluku,"14.906,44","27.211,00","20.270,00","11.807,00","14.954,00","45.999,39","13.404,83","21.935,97","2.985,11"
82.0,Maluku Utara,"69,54","2.781,00","59,00","108,00","171,00","542,18","102,57","27,53","290,09"
52.0,Nusa Tenggara Barat,"14.461,38","60.234,00","29.157,00","101.173,00","30.567,00","66.716,43","46.189,73","27.834,73","2.275,54"
53.0,Nusa Tenggara Timur,"57.428,79","136.920,00","114.719,00","137.343,00","70.637,00","102.536,89","113.089,51","118.409,10","4.664,04"
91.0,Papua,"88.626,84","108.110,00","28.277,00","15.979,00","8.336,00","604,01","544,19","199,74","224,79"
92.0,Papua Barat,"509,50","1.533,00","5.716,00","77,00","1.738,00","259,03","198,85","1.228,72","64,77"
96.0,Papua Barat Daya,"0,00","0,00","0,00","0,00","0,00","504,24","28,42","189,12","158,17"
95.0,Papua Pegunungan,"0,00","0,00","0,00","0,00","0,00","787,11","461,56","672,06","514,83"
93.0,Papua Selatan,"0,00","0,00","0,00","0,00","0,00","150.813,34","27.182,19","8.107,91","583,35"
94.0,Papua Tengah,"0,00","0,00","0,00","0,00","0,00","2.593,91","104,02","242,18","2.107,61"
14.0,Riau,"37.236,27","90.550,00","15.442,00","8.970,00","4.915,00","7.267,03","11.027,96","21.843,73","15.318,03"
76.0,Sulawesi Barat,"978,38","3.029,00","569,00","886,00","488,00","2.132,31","994,74","1.079,43","193,57"
73.0,Sulawesi Selatan,"1.741,27","15.697,00","1.902,00","916,00","997,00","6.489,26","3.522,91","3.539,24","1.451,77"
72.0,Sulawesi Tengah,"4.147,28","11.551,00","2.555,00","3.133,00","3.704,00","10.844,28","4.920,70","4.578,34","2.222,24"
74.0,Sulawesi Tenggara,"8.594,67","16.929,00","3.206,00","2.124,00","3.098,00","18.736,47","1.629,74","7.051,24","801,67"
71.0,Sulawesi Utara,"326,39","4.574,00","177,00","579,00","469,00","2.531,44","651,68","6,51","100,35"
13.0,Sumatera Barat,"2.421,90","2.133,00","1.573,00","2.068,00","9.832,00","4.885,13","3.052,20","8.145,45","973,56"
16.0,Sumatera Selatan,"16.226,60","336.798,00","950,00","5.245,00","3.723,00","132.082,86","15.422,48","5.939,79","305,39"
12.0,Sumatera Utara,"3.678,79","2.514,00","3.744,00","4.078,00","7.516,00","2.113,75","7.032,27","38.175,23","1.016,60"
34.0,Yogyakarta,"0,00","23,00","181,00","0,00","0,00","119,91","51,91","0,00","0,00"
,Total,"529.266,64","1.649.258,00","296.942,00","358.867,00","204.894,00","1.161.192,90","376.805,05","359.619,42","81.077,02"
